rank,rank_last_week,weeks_on_list,primary_isbn13,publisher,description,title,author,book_image,amazon_product_url,week,nyt_list
3,0,1,9780593099827,Berkley,The 34th book in the Carpathian series. Will the vampire who held Elisabeta captive get in the way of her bond with Ferro?,DARK SONG,CHRISTINE FEEHAN,https://storage.googleapis.com/du-prd/books/images/9780593099834.jpg,https://www.amazon.com/dp/0593099834?tag=NYTBSREV-20,2020-09-20,Combined Print & E-Book Fiction
4,0,1,9781629998916,FrontLine,"Nouriel, Ana Goren and a figure known as ""the prophet"" return as revelations are unlocked.",THE HARBINGER II,JONATHAN CAHN,https://storage.googleapis.com/du-prd/books/images/9781629998916.jpg,https://www.amazon.com/dp/1629998915?tag=NYTBSREV-20,2020-09-20,Combined Print & E-Book Fiction
5,0,1,9781984830210,Random House,"It is time for Queen Beatrice to rule, but first she must get married!",AMERICAN ROYALS II: MAJESTY,KATHARINE MCGEE,https://storage.googleapis.com/du-prd/books/images/9781984830210.jpg,https://www.amazon.com/dp/198483021X?tag=NYTBSREV-20,2020-09-20,Young Adult Hardcover
6,0,1,9780062996480,Balzer + Bray,"Convicted of a crime he didn’t commit and sent to prison, Amal uses the freedom of art to overcome his incarceration.",PUNCHING THE AIR,IBI ZOBOI AND YUSEF SALAAM,https://storage.googleapis.com/du-prd/books/images/9780062996480.jpg,https://www.amazon.com/dp/0062996487?tag=NYTBSREV-20,2020-09-20,Young Adult Hardcover
6,0,1,9780525658184,Knopf,A Ph.D. candidate in neuroscience looks to the hard sciences and her childhood faith to potentially help her grieving Ghanaian immigrant family.,TRANSCENDENT KINGDOM,YAA GYASI,https://storage.googleapis.com/du-prd/books/images/9780525658184.jpg,https://www.amazon.com/dp/0525658181?tag=NYTBSREV-20,2020-09-20,Combined Print & E-Book Fiction
8,0,1,9781250250469,Swoon Reads,A trans boy determined to prove his gender to his traditional Latinx family summons a ghost who refuses to leave.,CEMETERY BOYS,AIDEN THOMAS,https://storage.googleapis.com/du-prd/books/images/9781250250469.jpg,https://www.amazon.com/dp/1250250463?tag=NYTBSREV-20,2020-09-20,Young Adult Hardcover
9,0,1,9780759554085,"Little, Brown",Avery Grambs must solve a multilayered puzzle to find out why she’s the recipient of a billionaire’s inheritance.,THE INHERITANCE GAMES,JENNIFER LYNN BARNES,https://storage.googleapis.com/du-prd/books/images/9780759554085.jpg,https://www.amazon.com/dp/1368052401?tag=NYTBSREV-20,2020-09-20,Young Adult Hardcover
11,0,1,9780593157688,Del Rey,"In this Star Wars saga, a young military officer is sent to find the unseen enemies who attacked the Chiss capital.",THRAWN ASCENDANCY: CHAOS RISING,TIMOTHY ZAHN,https://storage.googleapis.com/du-prd/books/images/9780593157688.jpg,https://www.amazon.com/dp/0593157680?tag=NYTBSREV-20,2020-09-20,Combined Print & E-Book Fiction
1,0,1,9781538751916,Grand Central,Arden Maxwell returns home to uncover the truth about her father’s involvement in a heist that went wrong 20 years ago.,THICK AS THIEVES,SANDRA BROWN,https://storage.googleapis.com/du-prd/books/images/9781538751947.jpg,https://www.amazon.com/dp/1538751941?tag=NYTBSREV-20,2020-09-13,Combined Print & E-Book Fiction
2,0,1,9781524733469,Knopf,"A dead dowager, hungry pythons and occupants of the winter White House shake up the Palm Beach charity ball season.",SQUEEZE ME,CARL HIAASEN,https://storage.googleapis.com/du-prd/books/images/9781524733452.jpg,https://www.amazon.com/dp/1524733458?tag=NYTBSREV-20,2020-09-13,Combined Print & E-Book Fiction
5,0,1,9780062878373,Avon,The latest installment in the Hidden Legacy series. Catalina Baylor overcomes heartbreak to team up with Alessandro Sagredo.,EMERALD BLAZE,ILONA ANDREWS,https://storage.googleapis.com/du-prd/books/images/9780062878373.jpg,https://www.amazon.com/dp/0062878360?tag=NYTBSREV-20,2020-09-13,Combined Print & E-Book Fiction
7,0,1,9781984802408,Berkley,The seventh book in the Westcott series. Gabriel Thorne’s intention to wed Lady Jessica Archer misses its mark at first.,SOMEONE TO ROMANCE,MARY BALOGH,https://storage.googleapis.com/du-prd/books/images/9781984802408.jpg,https://www.amazon.com/dp/0593198611?tag=NYTBSREV-20,2020-09-13,Combined Print & E-Book Fiction
11,0,1,9781420146066,Zebra,The 31st book in the Sisterhood series. A con artist is behind a scheme involving fertility clinics.,TRUTH AND JUSTICE,FERN MICHAELS,https://storage.googleapis.com/du-prd/books/images/9781420146066.jpg,https://www.amazon.com/dp/1420146068?tag=NYTBSREV-20,2020-09-13,Combined Print & E-Book Fiction
13,0,1,9780062356345,Custom House,Three young women are sent to the fledgling British penal colony of Australia in the 1840s.,THE EXILES,CHRISTINA BAKER KLINE,https://storage.googleapis.com/du-prd/books/images/9780062356345.jpg,https://www.amazon.com/dp/0062356348?tag=NYTBSREV-20,2020-09-13,Combined Print & E-Book Fiction
1,0,1,9780399179655,Delacorte,"In 1943, the 17-year-old Princess Charlotte assumes a new identity in the country and falls in love.",ROYAL,DANIELLE STEEL,https://storage.googleapis.com/du-prd/books/images/9780399179655.jpg,https://www.amazon.com/dp/0399179658?tag=NYTBSREV-20,2020-09-06,Combined Print & E-Book Fiction
3,0,1,9781501195082,Gallery,"In the Black Dagger Brotherhood world, Nyx searches for her sister in a lost prison camp and meets a man known as the Jackal.",THE JACKAL,JR WARD,https://storage.googleapis.com/du-prd/books/images/9781501195068.jpg,https://www.amazon.com/dp/1501195069?tag=NYTBSREV-20,2020-09-06,Combined Print & E-Book Fiction
10,0,1,9781419739828,Amulet,A child is raised to serve on a council to advise the crown prince and then assassinate him.,RAYBEARER,JORDAN IFUEKO,https://storage.googleapis.com/du-prd/books/images/9781419739828.jpg,https://www.amazon.com/dp/1419739824?tag=NYTBSREV-20,2020-09-06,Young Adult Hardcover
2,0,1,9780593188316,Putnam,The 54th book in the Stone Barrington series. Things get rough for Stone as he goes after criminals in New York City and Key West.,CHOPPY WATER,STUART WOODS,https://storage.googleapis.com/du-prd/books/images/9780593188293.jpg,https://www.amazon.com/dp/0593188292?tag=NYTBSREV-20,2020-08-30,Combined Print & E-Book Fiction
3,0,1,9781538703663,Grand Central,A single mom teams up with an N.Y.P.D. detective to solve a case involving misdeeds at a university hospital.,THE MIDWIFE MURDERS,JAMES PATTERSON AND RICHARD DILALLO,https://storage.googleapis.com/du-prd/books/images/9781538718872.jpg,https://www.amazon.com/dp/1538718871?tag=NYTBSREV-20,2020-08-30,Combined Print & E-Book Fiction
4,0,1,9781982151706,Simon & Schuster,The 23rd book in the Dave Robicheaux series. Rival Louisiana crime families and a time-traveling superhuman assassin bring up Robicheaux’s personal demons.,A PRIVATE CATHEDRAL,JAMES LEE BURKE,https://storage.googleapis.com/du-prd/books/images/9781982151683.jpg,https://www.amazon.com/dp/1982151684?tag=NYTBSREV-20,2020-08-30,Combined Print & E-Book Fiction
3,0,1,9781984804457,Berkley,"The 27th book in the Anita Blake, Vampire Hunter series. The evidence that a wereleopard killed his uncle doesn’t add up.",SUCKER PUNCH,LAURELL K HAMILTON,https://storage.googleapis.com/du-prd/books/images/9781984804433.jpg,https://www.amazon.com/dp/198480443X?tag=NYTBSREV-20,2020-08-23,Combined Print & E-Book Fiction
4,0,1,9780062858917,Morrow,The 10th book in the Will Trent series. Investigations of two crimes force Trent to call on his girlfriend's expertise as a medical examiner.,THE SILENT WIFE,KARIN SLAUGHTER,https://storage.googleapis.com/du-prd/books/images/9780062858108.jpg,https://www.amazon.com/dp/0062858106?tag=NYTBSREV-20,2020-08-23,Combined Print & E-Book Fiction
10,0,1,9781250313201,Tor.com,The second book of the Locked Tomb trilogy. Harrowhark Nonagesimus must overcome her failing health to become an angel of undeath.,HARROW THE NINTH,TAMSYN MUIR,https://storage.googleapis.com/du-prd/books/images/9781250313225.jpg,https://www.amazon.com/dp/1250313228?tag=NYTBSREV-20,2020-08-23,Combined Print & E-Book Fiction
14,0,1,9781488055959,HQN,A single mom and a widow take on challenges to push themselves outside their comfort zones.,THE FRIENDSHIP LIST,SUSAN MALLERY,https://storage.googleapis.com/du-prd/books/images/9781488055959.jpg,https://www.amazon.com/dp/1335136967?tag=NYTBSREV-20,2020-08-23,Combined Print & E-Book Fiction
15,0,1,9781101128671,Dutton,"When a homicide victim is discovered, a New Jersey prosecutor begins to hope his sister who disappeared 20 years ago may still be alive.",THE WOODS,HARLAN COBEN,https://storage.googleapis.com/du-prd/books/images/9780451221957.jpg,http://www.amazon.com/The-Woods-Harlan-Coben/dp/0451221958?tag=NYTBSREV-20,2020-08-23,Combined Print & E-Book Fiction
1,0,1,9781501193729,Gallery,"The 24th book in the F.B.I. Thriller series. A young wife, a psychopath and three red boxes puzzle agents Savich and Sherlock.",DEADLOCK,CATHERINE COULTER,https://storage.googleapis.com/du-prd/books/images/9781501193699.jpg,https://www.amazon.com/dp/1501193694?tag=NYTBSREV-20,2020-08-16,Combined Print & E-Book Fiction
2,0,1,9780316418195,"Little, Brown","After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer.",1ST CASE,JAMES PATTERSON AND CHRIS TEBBETTS,https://storage.googleapis.com/du-prd/books/images/9780316418188.jpg,https://www.amazon.com/dp/0316418188?tag=NYTBSREV-20,2020-08-16,Combined Print & E-Book Fiction
13,0,1,9781984880512,Pamela Dorman,The parents of colicky twin girls have other trouble delivered in the form of suspicions surrounding the husband’s first wife’s death.,THE END OF HER,SHARI LAPENA,https://storage.googleapis.com/du-prd/books/images/9781984880512.jpg,https://www.amazon.com/dp/1984880519?tag=NYTBSREV-20,2020-08-16,Combined Print & E-Book Fiction
1,0,1,9781982104085,Emily Bestler/Atria,"The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative.",NEAR DARK,BRAD THOR,https://storage.googleapis.com/du-prd/books/images/9781982104061.jpg,https://www.amazon.com/dp/1982104066?tag=NYTBSREV-20,2020-08-09,Combined Print & E-Book Fiction
2,0,1,9781419735059,Amulet,Kyoshi must stop a mysterious threat that emerges from the Spirit World.,"AVATAR, THE LAST AIRBENDER: THE SHADOW OF KYOSHI",FC YEE,https://storage.googleapis.com/du-prd/books/images/9781419735059.jpg,https://www.amazon.com/dp/1419735055?tag=NYTBSREV-20,2020-08-09,Young Adult Hardcover
7,0,1,9781250256737,St. Martin's,Cora Sabino finds herself caught between her estranged whistle-blower father and the extraterrestrials who have been living here for decades.,AXIOM'S END,LINDSAY ELLIS,https://storage.googleapis.com/du-prd/books/images/9781250256737.jpg,https://www.amazon.com/dp/1250256739?tag=NYTBSREV-20,2020-08-09,Combined Print & E-Book Fiction
14,0,1,9781982131913,Gallery,A woman who helped Jewish children flee the Nazis during World War II now might be the only one who can unlock a code found in a religious text.,THE BOOK OF LOST NAMES,KRISTIN HARMEL,https://storage.googleapis.com/du-prd/books/images/9781982131913.jpg,https://www.amazon.com/dp/1982131896?tag=NYTBSREV-20,2020-08-09,Combined Print & E-Book Fiction
1,0,1,9780062834904,Harper,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.,THE ORDER,DANIEL SILVA,https://storage.googleapis.com/du-prd/books/images/9780062834843.jpg,https://www.amazon.com/dp/0062834843?tag=NYTBSREV-20,2020-08-02,Combined Print & E-Book Fiction
2,0,1,9780399587078,Ace,The 16th book in the Dresden Files series. Chicago's only professional wizard tries to keep the peace during a summit of the Supernatural nations of the world.,PEACE TALKS,JIM BUTCHER,https://storage.googleapis.com/du-prd/books/images/9780451464415.jpg,https://www.amazon.com/dp/0451464419?tag=NYTBSREV-20,2020-08-02,Combined Print & E-Book Fiction
