title,author,urls,avg_rating,num_ratings,date_published,booktok_popularity
"Renegades (Renegades, #1)",Marissa Meyer,https://www.goodreads.com/book/show/28421168-renegades,4.15,"                107,668",2017,83
Den of Vipers (Kindle Edition),K.A. Knight,https://www.goodreads.com/book/show/53544752-den-of-vipers,3.55,"                62,152",2020,84
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,4.07,"                275,901",2015,85
All the Bright Places (Hardcover),Jennifer Niven,https://www.goodreads.com/book/show/18460392-all-the-bright-places,4.15,"                446,892",2015,86
"Crave (Crave, #1)",Tracy Wolff,https://www.goodreads.com/book/show/45892228-crave,3.81,"                77,095",2020,87
"Corrupt (Devil's Night, #1)",Penelope Douglas,https://www.goodreads.com/book/show/58124274-corrupt,3.83,"                115,342",2015,88
"Twisted Love (Twisted, #1)",Ana Huang,https://www.goodreads.com/book/show/55817097-twisted-love,3.80,"                81,197",2021,89
Credence (Paperback),Penelope Douglas,https://www.goodreads.com/book/show/49084724-credence,3.70,"                81,928",2020,90
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)",Sarah J. Maas,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,3.80,"                373,595",2018,91
"King of Scars (King of Scars, #1)",Leigh Bardugo,https://www.goodreads.com/book/show/36307634-king-of-scars,4.18,"                135,976",2019,92
Love and Other Words (Hardcover),Christina Lauren,https://www.goodreads.com/book/show/36206591-love-and-other-words,4.35,"                138,223",2018,93
"Flock (The Ravenhood, #1)",Kate Stewart,https://www.goodreads.com/book/show/40748777-flock,4.14,"                52,040",2020,94
All the Light We Cannot See (Hardcover),Anthony Doerr,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,4.32,"                1,299,590",2014,95
A Winter's Promise (The Mirror Visitor #1),Christelle Dabos,https://www.goodreads.com/book/show/40969531-a-winter-s-promise,4.10,"                62,684",2013,96
The Silent Patient (Hardcover),Alex Michaelides,https://www.goodreads.com/book/show/40097951-the-silent-patient,4.15,"                1,041,609",2019,97
"Vicious (Villains, #1)",V.E. Schwab,https://www.goodreads.com/book/show/40874032-vicious,4.23,"                161,422",2013,98
The Book Thief (Hardcover),Markus Zusak,https://www.goodreads.com/book/show/19063.The_Book_Thief,4.38,"                2,184,345",2007,99
Sorcery of Thorns (Hardcover),Margaret Rogerson,https://www.goodreads.com/book/show/42201395-sorcery-of-thorns,4.08,"                86,485",2019,100
A Thousand Boy Kisses (ebook),Tillie Cole,https://www.goodreads.com/book/show/25912358-a-thousand-boy-kisses,4.18,"                83,127",2016,101
Birthday Girl (ebook),Penelope Douglas,https://www.goodreads.com/book/show/39555142-birthday-girl,4.02,"                122,206",2018,102
Lore (Hardcover),Alexandra Bracken,https://www.goodreads.com/book/show/53375824-lore,3.81,"                55,839",2021,103
All Your Perfects (Paperback),Colleen Hoover,https://www.goodreads.com/book/show/38926487-all-your-perfects,4.30,"                185,577",2018,104
Cemetery Boys (Hardcover),Aiden Thomas,https://www.goodreads.com/book/show/52339313-cemetery-boys,4.34,"                55,606",2020,105
From Lukov with Love (Paperback),Mariana Zapata,https://www.goodreads.com/book/show/37683751-from-lukov-with-love,4.37,"                118,975",2018,106
Reminders of Him (Kindle Edition),Colleen Hoover,https://www.goodreads.com/book/show/58341222-reminders-of-him,4.55,"                280,915",2022,107
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,https://www.goodreads.com/book/show/40495957-heartstopper,4.55,"                328,737",2018,108
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,https://www.goodreads.com/book/show/40727470-stalking-jack-the-ripper,3.98,"                102,299",2016,109
"The Maddest Obsession (Made, #2)",Danielle Lori,https://www.goodreads.com/book/show/40613322-the-maddest-obsession,4.34,"                71,895",2019,110
Cinderella Is Dead (ebook),Kalynn Bayron,https://www.goodreads.com/book/show/43900612-cinderella-is-dead,3.73,"                42,627",2020,111
"Crier's War (Crier's War, #1)",Nina Varela,https://www.goodreads.com/book/show/41951626-crier-s-war,4.16,"                24,482",2019,112
"The Gilded Wolves (The Gilded Wolves, #1)",Roshani Chokshi,https://www.goodreads.com/book/show/39863498-the-gilded-wolves,3.74,"                34,758",2019,113
Ace of Spades (Paperback),Faridah Àbíké-Íyímídé,https://www.goodreads.com/book/show/42603984-ace-of-spades,4.28,"                44,066",2021,114
"Rhapsodic (The Bargainer, #1)",Laura Thalassa,https://www.goodreads.com/book/show/25820414-rhapsodic,3.98,"                83,429",2016,115
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,https://www.goodreads.com/book/show/20613470-heir-of-fire,4.46,"                438,435",2014,116
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,https://www.goodreads.com/book/show/17167166-crown-of-midnight,4.36,"                516,776",2013,117
"These Hollow Vows (These Hollow Vows, #1)",Lexi Ryan,https://www.goodreads.com/book/show/53422971-these-hollow-vows,4.07,"                28,239",2021,118
"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,https://www.goodreads.com/book/show/32718027-the-city-of-brass,4.13,"                78,396",2017,119
Such a Fun Age (Hardcover),Kiley Reid,https://www.goodreads.com/book/show/43923951-such-a-fun-age,3.83,"                409,795",2019,120
"Fable (Fable, #1)",Adrienne Young,https://www.goodreads.com/book/show/44012880-fable,4.08,"                55,573",2020,121
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,https://www.goodreads.com/book/show/36381037-cinder,4.13,"                813,397",2012,122
The Wall of Winnipeg and Me (Kindle Edition),Mariana Zapata,https://www.goodreads.com/book/show/29367958-the-wall-of-winnipeg-and-me,4.29,"                157,741",2016,123
"Throttled (Dirty Air, #1)",Lauren Asher,https://www.goodreads.com/book/show/53058846-throttled,3.88,"                46,841",2020,124
"Addicted to You (Addicted, #1)",Krista Ritchie,https://www.goodreads.com/book/show/55475442-addicted-to-you,3.85,"                71,132",2013,125
"Air Awakens (Air Awakens, #1)",Elise Kova,https://www.goodreads.com/book/show/23127048-air-awakens,4.01,"                39,923",2015,126
"The Darkest Temptation (Made, #3)",Danielle Lori,https://www.goodreads.com/book/show/56250307-the-darkest-temptation,4.15,"                55,323",hed ,127
"Hooked (Never After, #1)",Emily McIntire,https://www.goodreads.com/book/show/58545703-hooked,3.92,"                39,305",2021,128
"Promises and Pomegranates (Monsters & Muses, #1)",Sav R. Miller,https://www.goodreads.com/book/show/55921330-promises-and-pomegranates,3.53,"                22,275",2021,129
"Haunting Adeline (Cat and Mouse Duet, #1)",H.D. Carlton,https://www.goodreads.com/book/show/58763686-haunting-adeline,4.14,"                21,870",2021,130
"Desperate Measures (Wicked Villains, #1)",Katee Robert,https://www.goodreads.com/book/show/44323708-desperate-measures,3.56,"                22,693",2019,131
"A Deal with the Elf King (Married to Magic, #1)",Elise Kova,https://www.goodreads.com/book/show/55285911-a-deal-with-the-elf-king,3.77,"                52,045",2020,132
The Starless Sea (Hardcover),Erin Morgenstern,https://www.goodreads.com/book/show/43575115-the-starless-sea,3.85,"                154,124",2019,133
"Scythe (Arc of a Scythe, #1)",Neal Shusterman,https://www.goodreads.com/book/show/28954189-scythe,4.33,"                214,520",2016,134
Girl in Pieces (Hardcover),Kathleen Glasgow,https://www.goodreads.com/book/show/29236380-girl-in-pieces,4.13,"                64,479",2016,135
"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,https://www.goodreads.com/book/show/36307674-rule-of-wolves,4.40,"                90,225",2021,136
"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,https://www.goodreads.com/book/show/43884209-get-a-life-chloe-brown,3.86,"                126,836",2019,137
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,https://www.goodreads.com/book/show/28260587-empire-of-storms,4.55,"                316,972",2016,138
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,https://www.goodreads.com/book/show/18006496-queen-of-shadows,4.55,"                380,933",2015,139
"Sky in the Deep (Sky and Sea, #1)",Adrienne Young,https://www.goodreads.com/book/show/34726469-sky-in-the-deep,3.97,"                49,671",2018,140
"The Kiss of Deception (The Remnant Chronicles, #1)",Mary E. Pearson,https://www.goodreads.com/book/show/16429619-the-kiss-of-deception,3.96,"                113,735",2014,141
"Bone Crier's Moon (Bone Grace, #1)",Kathryn Purdie,https://www.goodreads.com/book/show/46249012-bone-crier-s-moon,3.70,"                19,358",2020,142
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,https://www.goodreads.com/book/show/17675462-the-raven-boys,4.05,"                325,866",2012,143
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,https://www.goodreads.com/book/show/33590260-kingdom-of-ash,4.61,"                237,989",2018,144
"Twisted Games (Twisted, #2)",Ana Huang,https://www.goodreads.com/book/show/56653002-twisted-games,4.12,"                51,221",2021,145
You've Reached Sam (Hardcover),Dustin Thao,https://www.goodreads.com/book/show/53086843-you-ve-reached-sam,3.83,"                33,211",2022,146
"Flames of Chaos (Legacy of the Nine Realms, #1)",Amelia Hutchins,https://www.goodreads.com/book/show/50336781-flames-of-chaos,3.79,"                11,848",2020,147
