,title,author
104,All Your Perfects (Paperback),Colleen Hoover
105,Cemetery Boys (Hardcover),Aiden Thomas
106,Reminders of Him (Kindle Edition),Colleen Hoover
107,From Lukov with Love (Paperback),Mariana Zapata
108,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman
109,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco
110,"The Maddest Obsession (Made, #2)",Danielle Lori
111,"Crier's War (Crier's War, #1)",Nina Varela
112,Cinderella Is Dead (ebook),Kalynn Bayron
113,"The Gilded Wolves (The Gilded Wolves, #1)",Roshani Chokshi
114,Ace of Spades (Paperback),Faridah Àbíké-Íyímídé
115,"Rhapsodic (The Bargainer, #1)",Laura Thalassa
116,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas
117,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas
118,"These Hollow Vows (These Hollow Vows, #1)",Lexi Ryan
119,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty
120,Such a Fun Age (Hardcover),Kiley Reid
121,"Fable (Fable, #1)",Adrienne Young
122,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer
123,The Wall of Winnipeg and Me (Kindle Edition),Mariana Zapata
124,"Throttled (Dirty Air, #1)",Lauren Asher
125,"Addicted to You (Addicted, #1)",Krista Ritchie
126,"Air Awakens (Air Awakens, #1)",Elise Kova
127,"The Darkest Temptation (Made, #3)",Danielle Lori
128,"Promises and Pomegranates (Monsters & Muses, #1)",Sav R. Miller
129,"Desperate Measures (Wicked Villains, #1)",Katee Robert
130,"A Deal with the Elf King (Married to Magic, #1)",Elise Kova
131,"Hooked (Never After, #1)",Emily McIntire
132,"Haunting Adeline (Cat and Mouse Duet, #1)",H.D. Carlton
133,The Starless Sea (Hardcover),Erin Morgenstern
134,"Scythe (Arc of a Scythe, #1)",Neal Shusterman
135,Girl in Pieces (Hardcover),Kathleen Glasgow
136,"Rule of Wolves (King of Scars, #2)",Leigh Bardugo
137,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert
138,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas
139,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas
140,"Sky in the Deep (Sky and Sea, #1)",Adrienne Young
141,"The Kiss of Deception (The Remnant Chronicles, #1)",Mary E. Pearson
142,"Bone Crier's Moon (Bone Grace, #1)",Kathryn Purdie
143,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater
144,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas
145,"Twisted Games (Twisted, #2)",Ana Huang
146,You've Reached Sam (Hardcover),Dustin Thao
147,"Flames of Chaos (Legacy of the Nine Realms, #1)",Amelia Hutchins
148,"Priest (Priest, #1)",Sierra Simone
149,"Blood & Honey (Serpent & Dove, #2)",Shelby Mahurin
150,"Legendary (Caraval, #2)",Stephanie Garber
151,Spy Dust (Hardcover),Laureline Ducros
152,"Kingdom of the Cursed (Kingdom of the Wicked, #2)",Kerri Maniscalco
153,"American Queen (New Camelot Trilogy, #1)",Sierra Simone
154,"Iron Widow (Iron Widow, #1)",Xiran Jay Zhao
155,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi
156,"Girl, Serpent, Thorn (Hardcover)",Melissa Bashardoust
157,"The Roommate (The Shameless Series, #1)",Rosie Danan
158,In Five Years (Hardcover),Rebecca Serle
159,"The Score (Off-Campus, #3)",Elle Kennedy
160,House of Salt and Sorrows (Hardcover),Erin A. Craig
161,"There Are No Saints (Sinners Duet, #1)",Sophie Lark
162,"The Mistake (Off-Campus, #2)",Elle Kennedy
163,"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes
164,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas
165,Brutal Prince (Brutal Birthright #1),Sophie Lark
166,"Ice Planet Barbarians (Ice Planet Barbarians, #1)",Ruby Dixon
167,Wilder Girls (Hardcover),Rory Power
168,"Savage Lands (Savage Lands, #1)",Stacey Marie Brown
169,"Her Soul to Take (Souls Trilogy, #1)",Harley Laroux
170,Regretting You (Kindle Edition),Colleen Hoover
171,The Vanishing Half (Hardcover),Brit Bennett
172,The Dare (Kindle Edition),Harley Laroux
173,"Ignite Me (Shatter Me, #3)",Tahereh Mafi
174,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman
175,"A Touch of Ruin (Hades & Persephone, #2)",Scarlett St. Clair
176,Book Lovers (Hardcover),Emily Henry
177,"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey
178,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan
179,This Is Where It Ends (Hardcover),Marieke Nijkamp
180,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare
181,"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black
182,Today Tonight Tomorrow (Hardcover),Rachel Lynn Solomon
183,"The Chase (Briar U, #1)",Elle Kennedy
